text,rating,lat,lon,sentiment,sentiment_score
"Hole in the Rock is a super cool spot and definitely worth checking out!
It’s very touristy and extremely busy, so getting those perfect, crowd-free photos can be a bit of a challenge. That said, it’s still a really neat place to visit. I wouldn’t call it much of a hike — it’s more like a 3-minute walk up to the opening — but once you’re there, the views are beautiful and totally worth it.
There’s also plenty to do in the surrounding area, which makes it an easy addition to your day if you’re exploring nearby. Overall, a quick and fun stop with great scenery!",5,33.4564869,-111.9452606,POSITIVE,1
Short hike up to the viewing area with amazing views. Easy parking. Safe area. Trail getting up there isn't well marked but easy enough to figure out. Easy free parking.,5,33.4564869,-111.9452606,POSITIVE,1
This was fun.   Easy to walk and climb. Very safe.  I saw a bee sign but no bees.  Would definatly recommend coming here.  Just 10 minutes from airport.  Free parking.  Lots of areas to walk arround and enjoy nature.  Will be back.,5,33.4564869,-111.9452606,POSITIVE,1
Worth the visit when in PHX. Easy enough walk for older than tolddlers. Family-friendly spot for a picnic or to hold you over before the next thing to do. Amazing geological feature.,5,33.4564869,-111.9452606,POSITIVE,1
"Beautiful park for hiking walking biking. You can feel the peaceful calm energy and frequency. The Hole in the rock is pretty big. Good for families friends, especially to hang out on a first date. I'm sure it's breathtaking at night however this place closes its gate at 7pm. Not enough picnic areas once you start moving through the course. I saw two restrooms. They have a variety of trails too.",5,33.4564869,-111.9452606,POSITIVE,1
"I was disappointed with my visit to Roots Eatery. The menu felt very basic, offering only standard items like a burger, chicken club, and a few other simple options. When my food arrived, my chicken sandwich had barely any chicken, which made the meal underwhelming. Overall, the food wasn’t great and the choices were very limited. This place works if you just need something to eat, but it’s not somewhere I’d return for quality or variety.",3,33.06150940000001,-112.0486883,NEGATIVE,-1
"I have been curious about this place! I went yesterday afternoon, and I’m so glad I did! The food was absolutely delicious and full of flavor! On top of this, the young lady who took my to go order was so nice and polite! I really appreciated the overall experience! I will be back soon to dine in and try more items off of the menu! Keep up the great work! So glad you’re in Maricopa! 🍔🍟🤤♥️",5,33.06150940000001,-112.0486883,POSITIVE,1
We enjoyed breakfast at Roots Eatery. As it was our first visit we were surprised of how small the space was but the service and atmosphere was cozy and comfortable. I ordered the donut platter an OMG I cannot stop thinking about it! Cannot wait to go back!,5,33.06150940000001,-112.0486883,POSITIVE,1
"We were searching for local spots in Maricopa to take our visiting family from Canada and came across Roots Eatery—and we’re so glad we did! We were looking for something unique and local, and Roots hit the mark perfectly.

The atmosphere was welcoming and casual, and the food was absolutely delightful. Each dish had a fun twist that made it stand out without being too out-there. You can really tell they put thought into the flavors and presentation.

Our whole group enjoyed their meals, and it quickly became one of those places you know you’ll want to return to. Highly recommend if you’re in the area and looking for something a little different and a lot delicious!",5,33.06150940000001,-112.0486883,POSITIVE,1
"A few ways to describe our experience would be ""beer on a champagne budget"", and ""cutting corners at every step"".

We went here because we saw a photo of a large mound of cheesecurds on one of their reviews but they no longer serve it. We had gone back and forth on where to eat for quite some time, and the reviews said the food was really good, so we just decided to stick around and eat here anyway.

We walked in and were seated right away. As we walked past all the other tables, I noticed how the plates and sizes of portions were smaller than normal places, and they looked kind of silly in how they chose to display their foods. It was as if they were trying to be fancy, but didnt know how, and it was a bit cringey and funny, but the reviews said the food was good, so I told myself it will be fine and still stayed. We ended up asking to be seated outside, which was really great.

Our server brought us water in plastic cups, and I started off with a ""glass"" of chardonnay.  I was annoyed when it arrived in a double-walled metal tumbler with the restaurant named printed on it.. it looked like they got it off Etsy, and even more annoyed when my Chardonnay tasted old and flat.

The menu didnt have anything I really wanted, and only allowed for sides with their most expensive items, which was a bummer because I wanted Alfredo with a salad, but would have to pay $5 extra per side item. I settled on a chicken pot pie and hoped for the best.

My partner ordered a 14oz New York steak medium rare with mashed potatoes and a Ceasars salad, and I ordered the chicken pot pie with potato fingerlings and a Ceasars salad.

We were offered to recieve our salads first, which we accepted, and when it came out, it was HUGE!! I suggested to my partner ""of course its huge, they want you to be full so you are less upset when the rest of your meal comes out with small portions"", and he agreed. The salad tasted good though.

When the rest of our meal
meal came, my plate looked hilarious. I wasn't really sure what potato fingerlings were, but I was picturing small breakfast potatoes slice longways or quartered, sprinkled with Italian herbs and seasonings. No, these were sliced deep fried puffs of potatoes. My pot pie was somewhat small, and tasted really odd, almost as if there was dill in it, and I did not really like it but the consistency was nice. The potato gingerlings were arranged in a rounded fashion halfway around the pot pie, with a giant opem space on the plate that just looked unnecessary, and could have been arranged better. I asked for ketchup for my potatoes fingerlings, and I was brought ketchup packets, which is unsanitary and gross, and inconvenient. This is not a McDonald's drive-thru, please do not treat your customers like it is.

My partner's plate appeared equally silly. His mashed potatoes tasted as if there was more butter and heavy cream in them than they should call for. They tasted interesting and not horrible, but who doesnt like a little mashed potatoes with their butter and cream? Just odd, and as if someone does not know what they are doing. Also, it was lukewarm, which he seemed okay with, but it really irritated me (again), as our food should be hot when it gets to us. I tasted his steak, which was also only lukewarm, and undercooked, which might explain the lack of temperature, which is still not okay. If we pay $40 for a plate, it better be excellent, and this was NOT excellent. There also seemed to be a lack of seasonings on his steak. Steak tastes good alone, but a little extra something would have gone a long way.

We then ordered a dessert to-go each. He ordered the flourless chocolate cake, and I ordered the creme brulee. The flourless chocolate cake tasted like an overabundance of cocoa powder and he struggled eating it. My creme brulee tasted excellent!! However, the portion was miniscule.

Overall, we were very disappointed in our experience with this restaurant, and will not be going back. We felt like this restaurant did everything they could to cut corners and while maintaining high prices.",2,33.06150940000001,-112.0486883,POSITIVE,1
