text,rating,lat,lon,sentiment,sentiment_score
The High Line is a beautiful elevated walkway that can take you from Chelsea Market to Hudson Yards.  It offers gorgeous views of the city and beautiful art.  It was winter when we visited so I can only imagine how beautiful it is in the green months. Such a beautiful walk in the city.  We absolutely love this area of the city.,5,40.7479925,-74.0047649,POSITIVE,1
Very cool park and something my wife and I always try and hit when we visit Manhattan! Such a nice job of reusing space and it is very well organized. Definitely worth walking if you’re strolling the city.,5,40.7479925,-74.0047649,POSITIVE,1
"I had been wanting to visit this place for a while. After visiting the Coulée Verte a few years ago and learning that NYC has its own elevated park, I knew it was a must see. I visited on 01/09/2025. Despite the frigid weather, the park felt quiet, peaceful and perhaps more beautiful in its own way. The architecture, seating areas, and views of NYC from multiple angles were impressive. I was pleasantly surprised to end up at Little Island which was another cool spot to explore.",5,40.7479925,-74.0047649,POSITIVE,1
"I absolutely love walking on the highline, whether taking time for myself or commuting to work, there is such great architecture to be seen. Whether you start your experience walking the highline from the West village to Hudson Yards or from Hudson Yards to the West village you can truly see the diversity of the West side neighborhoods in Manhattan. The planning of the walkway in coordination with the artwork, the trees and flowers is well thought out. There are plenty of options to sit and enjoy the views, especially catching the sunrise or the sunset. My favorite time is in the morning when the city is quiet. The design of this park is truly incredible.",5,40.7479925,-74.0047649,POSITIVE,1
What an amazing place! An old rail track converted into an elevated walking path. You get to walk looking on one side at the Hudson River and enjoying the architecture of the surrounding buildings. I would love to see it again in the warm season to enjoy the lounge areas and the green! It’s a must-see!,5,40.7479925,-74.0047649,POSITIVE,1
"Central Park is love!
• I’m so glad I booked an accommodation near the park. I could walk to the southwest entrance in less than 10 minutes. Such a dream!
• I witnessed the park both before the snowstorm and right after the snowfall. Truly magical. The trees and views were magnificent, but I especially loved it the day after the snow when everything was beautifully snow-capped.
• I got to take gorgeous photos before the storm too — the colors were vibrant and stunning in their own way.
• The walkways were cleared quickly after the storm, though there were still some slippery, icy spots, so be careful!
• The park is massive, yet it’s the perfect place to find stillness in busy, noisy NYC. There are so many quiet, uncrowded corners — especially during winter.

Winter in Central Park just hits different ❄️🤍",5,40.7825547,-73.9655834,POSITIVE,1
"Beautiful snowy central park for my first visit. It was blistering cold but it was still so peaceful and calm. Had a green tea and mini carrot cake at pain au quotidien for some warmth and a little pit stop. I enjoyed my 25000 step walk through Times Square, central park and onward to the Met. Can't wait to see it again during a different season. It was very romantic in the winter weather",4,40.7825547,-73.9655834,POSITIVE,1
"New York City is a place of constant energy and contrast, where towering buildings, busy streets, and diverse cultures come together to create a unique atmosphere. Amid this fast-paced environment, Central Park stands out as a peaceful and beautiful retreat at the very heart of the city. Its presence gives New York a balance that few other cities can match.
Central Park offers a refreshing escape from the surrounding skyscrapers and traffic. Wide green lawns, tree-lined paths, and quiet lakes create a sense of calm that feels almost surprising given the city around it. Visitors can walk, relax, or simply sit and observe, enjoying the slower rhythm that the park provides. Each season brings a different kind of beauty, from blooming flowers in spring to colorful leaves in autumn.
The park is also rich in character and variety. Bridges, fountains, and open spaces are thoughtfully designed, blending natural beauty with careful planning. Musicians, artists, and families add life to the park, making it feel welcoming and vibrant without overwhelming its peaceful nature. Central Park reflects the diversity of New York itself, bringing people from all backgrounds together in one shared space.
Overall, New York City is impressive for its scale and ambition, but Central Park is what gives it warmth and balance. It is a reminder that even in the busiest cities, there is room for nature, reflection, and quiet beauty.",5,40.7825547,-73.9655834,POSITIVE,1
"This park feels like the ultimate urban escape and comes remarkably close to perfection. One moment you’re wandering through peaceful wooded paths, and the next you’re relaxing on open lawns or enjoying live performances, many of them free. There’s so much to do—boating on the lake, people-watching, or simply soaking in the scenery. In certain areas, it’s easy to forget you’re even in the middle of a city. For anyone visiting New York, spending time here is a must. With attractions like a zoo, carousel, ice-skating rink, and even a castle, the park offers something memorable for every age.",5,40.7825547,-73.9655834,POSITIVE,1
"Central Park is truly one of the greatest urban parks in the world. No matter the season, it offers something special — beautiful walking paths, peaceful lakes, open green spaces, iconic landmarks, and endless spots to relax or explore. It’s amazing how you can step away from the city’s energy and immediately feel calm and refreshed.

Whether you’re walking, running, biking, visiting attractions like Bethesda Terrace, Bow Bridge, or Strawberry Fields, or simply sitting on a bench enjoying the views, Central Park never disappoints. It’s perfect for families, couples, solo walks, and tourists alike. A must-visit every time I’m in NYC — timeless, beautiful, and unforgettable.

Best time to visit:
April last two weeks
November first two weeks
January last two weeks",5,40.7825547,-73.9655834,POSITIVE,1
"A small island transformed into a beautiful floating public park on the banks of the Hudson River, perfect for a family stroll, enjoying its gardens and the lovely view, and taking photos with your partner or family. Don't miss this little island! If you're in the Hudson area, there's parking available, and entry to the island is completely free. Enjoy its gardens and different levels. I visited in winter, and it was beautiful. I'll return in summer to enjoy the area. Restrooms are available",5,40.7420024,-74.010299,POSITIVE,1
"Little Island is a very unique and beautiful park with amazing views of the river and the city. The design is creative, and there are plenty of spots to sit and enjoy the scenery. It’s a great place for a relaxing walk or taking photos. The park feels peaceful even when it’s busy. Definitely worth visiting if you’re nearby.",5,40.7420024,-74.010299,POSITIVE,1
"Such a beautiful garden in NYC. Definitely worth the effort to come and walk here. It has amazing views,  beautiful plants. It's decently accessible, there's ramps to most (if not all) of the sections. There's seating all around and clearly is used for events and such. Also, based on what I read it's open for long periods of the day, which is excellent 👍 highly recommend coming here.",5,40.7420024,-74.010299,POSITIVE,1
"What a great park!  Shoutout to Heatherwick Studios for creating something very unique with something for everyone.  The main entrance through concrete piers was very cool, and the park itself is surprisingly large.  There are some great views of New Jersey and the new World Trade Center.  Its a bit of a maze with plenty of little areas to relax and get away from the crowds.  The amphitheater was a pleasant surprise.
Bonus - there are some very clean public washrooms!",5,40.7420024,-74.010299,POSITIVE,1
"With out a doubt this is an architectural highlight - even for New York standards. Beautifully softly flowing lines amidst rectangular glass and steel structures. And all that on water.

#1 the looks
The concrete elements remind me of cone-shaped filter hoppers. They are the foundation for the nature on top. It’s funny, although knowing that the nature is somewhat artificial it feels surprising natural when walking through it. The trees add a particular charm when the shine in their autumn colours.

#2 the functionalities
It houses an amphitheater and some snack points. The entrance arch itself is made from those cone-shaped filter hoppers.

#3 the metropolitan audacity
The amount of money spend on such a project is only possible in a city like New York. It does take some metropolitan audacity to pitch a project like that.
And I’m so grateful that it has been pitched, had won the tender and has ever since attracted so many people.
A truly creative endeavour.",5,40.7420024,-74.010299,POSITIVE,1
"Whether you’re a New York local like me or are visiting from elsewhere in the world, you cannot go wrong with choosing One World Observatory as your observation deck of choice! One World Trade Center is the tallest building in the Western Hemisphere, making it an excellent choice.

For reference, the WTC is located in Downtown Manhattan, as opposed to the other major observation decks, which are situated in the Midtown area. This means that your view here will center on the water (Hudson & East Rivers, NY Harbor, and the three bridges). You still get great views of the skyscrapers in midtown, but you will be looking at them from a distance, as opposed to feeling in the middle of them as you would at a Midtown observation deck.

The experience begins straight away with an elevator ride showcasing the entire history of NYC’s development, dating back several hundred years. While the ascent only lasts less than a minute, it is still a wonderful show. Once you get to the observation deck floor, a surprise awaits, revealing the view from over 1,250 feet up right in front of your eyes!

There are several extra experiences that you can partake in while at the observatory, including an iPad that details the various landmarks around you, as well as the ONE Dine cafe. These do come at an extra charge.

The views all around the observatory are breathtaking, spanning 360 degrees and giving you a clear view of the city, waterways, and buildings all around you. I highly recommend choosing One World and pairing it with a visit to the 9/11 Memorial & Museum for the day!",5,40.7130062,-74.013173,POSITIVE,1
"Incredible views and a really smooth overall experience. The elevator ride and intro are well done, and once you’re up there the panoramic skyline is unreal—Statue of Liberty, the bridges, and all of Manhattan in one shot. It can get crowded, but the space is big enough that you can still find great angles for photos. Tip: Go near sunset for the best lighting and plan a little extra time for lines.",5,40.7130062,-74.013173,POSITIVE,1
"View is ok, nice on Brooklyn bridge but far from other interesting sight even statue of liberty. Would not recommend to go there prefer the other towers (i did them all, edge, Vanderbilt, top of the rock and empire state). Pricing is high, online fee applies even if you buy at the counter since ther are only automatic machines to process the ticket order, so disguise way to pay more (but they all do this). What i dislike also is the queue to get the ipad for the explanation, 20usd more on top of the entrance fee. I did not take it nevertheless was mandatory to queue, then you go via bar then restaurant before going to the single floor where you can enjoy the view. View is nice but not unforgettable.",1,40.7130062,-74.013173,NEGATIVE,-1
"Visiting again because it's so beautiful! Stunning view and a perfect place for watching the sun set. Interactive details prior to the observation platform. Could see the twin tower monument and the oculus from up high. Stayed for almost 2 hours as it was just so breathtaking and had some resting benches to enjoy the view from. Definitely worth a visit!

Pro tip: if you have glare appear on your pictures through the glass, ask a friend to hold a jacked wide open behind you, worked well to get clear pictures!",5,40.7130062,-74.013173,POSITIVE,1
"Beware their website will sell you tickets for time slots when they are closed for wind. This happened to us, and their first response was that we could just come back, which as a tourist destination doesn’t always work with schedules, and at effectively $50/person, that’s a decent chunk of change to leave town without.  They did refund us, but took being there in person and pointing out how it’s rather unethical to sell tickets on your own website for times you know you’re closed.

Luckily we were able to swing a stop by on the way to the airport the following morning.  The view is really cool, and given that it was in the single digits outside, being inside was pretty sweet.",4,40.7130062,-74.013173,NEGATIVE,-1
"What an amazing trip. We had reservations and express tickets but the day we went, there was hardly a crowd so while we still used the express line and it helped during one of the turns, it was barely noticeable. Im sure if it was super crowded, then it would’ve been more noticeable in terms of getting in faster and going upstairs faster. From the moment you walk in, it is beautiful. The ride up to the 80th floor was quick and easy barely felt it. They had this cute video playing so it just felt super fast like the ride was super fast. The views are definitely out of this world. Then we took another elevator up to the second level observatory and again just phenomenal views. Went with kids. Staff members there were very good at giving directions very patient and also constantly watching what’s going on. Felt super safe felt super calm and had a great time. Check it out.",5,40.7484405,-73.98566439999999,POSITIVE,1
"Visiting the Empire State Building is one of those experiences that lives up to its reputation. There’s a sense of history the moment you step inside—this isn’t just an observation deck, it’s a piece of New York’s story. The exhibits do a great job walking you through the building’s construction, its place in pop culture, and what it has symbolized for generations.

The views from the top are unreal. Being able to look out over Manhattan and see the city stretch in every direction really puts its scale into perspective. It doesn’t matter how many photos you’ve seen—seeing it in person hits differently. We visited in January, and while it was cold at the top, the clearer winter air made the views even sharper.

What stood out was how smooth and well-organized the entire experience felt. Security and elevators moved efficiently, and even with other visitors around, it never felt chaotic. The colder season definitely helped keep crowds manageable, giving us time to actually enjoy the moment instead of rushing through it.

The Empire State Building isn’t just about the view—it’s about standing in a place that’s been part of countless stories, movies, and memories. If it’s your first time in New York or your tenth, it’s still worth the visit.",5,40.7484405,-73.98566439999999,POSITIVE,1
"We had a great experience visiting the 86th floor, the 360° views are absolutely stunning! Travelling in winter really benefited us as there was no waiting time, which made the visit even more enjoyable. It’s definitely worth doing at least once when in New York. The museum area is also excellent and adds a lot to the overall experience. The staff here are very helpful, and the facilities are well suited for visitors with disabilities as well as families with kids and prams. Overall, a very smooth and memorable visit.",5,40.7484405,-73.98566439999999,POSITIVE,1
